date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:26	583/583	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Oct%202019%2009:57:33%20GMT	https://livedemo00.template-help.com/robots.txt		(from )
14:57:28	37279/37279	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:57:35%20GMT	https://livedemo00.template-help.com/wt_61214/	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/index.html	(from )
14:57:28	4387/4387	---M-Z	200	added ('OK')	application/javascript	etag:%228242ea68a29f3bc1919f9cbf0f0e9c06%22	https://livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/cdn-cgi/apps/head/3ts2ksMwXvKRuG480KNifJ2_JNM.js	(from https://livedemo00.template-help.com/wt_61214/)
14:57:29	1086/1086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225db07b7b-43e%22	https://livedemo00.template-help.com/wt_61214/images/favicon.ico	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/images/favicon.ico	(from https://livedemo00.template-help.com/wt_61214/)
14:57:50	122104/122104	---MCZ	200	added ('OK')	text/css	etag:W/%225db07b73-1dfd1%22	https://livedemo00.template-help.com/wt_61214/css/bootstrap.css	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/css/bootstrap.css	(from https://livedemo00.template-help.com/wt_61214/)
14:57:52	1490/1490	---M--	200	added ('OK')	image/png	etag:%225db07b7d-be2%22	https://livedemo00.template-help.com/wt_61214/images/logo-default-145x41.png	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/images/logo-default-145x41.png	(from https://livedemo00.template-help.com/wt_61214/)
14:57:53	459446/459446	---MCZ	200	added ('OK')	text/css	etag:W/%225db07b76-899a0%22	https://livedemo00.template-help.com/wt_61214/css/style.css	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/css/style.css	(from https://livedemo00.template-help.com/wt_61214/)
14:57:54	37279/37279	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:01%20GMT	https://livedemo00.template-help.com/wt_61214/index.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/index-2.html	(from https://livedemo00.template-help.com/wt_61214/)
14:57:54	1360/1360	---M--	200	added ('OK')	image/png	etag:%225db07b7d-acb%22	https://livedemo00.template-help.com/wt_61214/images/logo-inverse-146x41.png	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/images/logo-inverse-146x41.png	(from https://livedemo00.template-help.com/wt_61214/)
14:57:57	49203/49203	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:04%20GMT	https://livedemo00.template-help.com/wt_61214/index-3.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/index-4.html	(from https://livedemo00.template-help.com/wt_61214/)
14:57:58	23142/23142	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:05%20GMT	https://livedemo00.template-help.com/wt_61214/sermons.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/sermons.html	(from https://livedemo00.template-help.com/wt_61214/)
14:57:59	23440/23440	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:06%20GMT	https://livedemo00.template-help.com/wt_61214/sermon-page.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/sermon-page.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:00	19752/19752	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:07%20GMT	https://livedemo00.template-help.com/wt_61214/welcome.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/welcome.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:00	40036/40036	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:03%20GMT	https://livedemo00.template-help.com/wt_61214/index-2.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/index-3.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:01	20504/20504	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:08%20GMT	https://livedemo00.template-help.com/wt_61214/our-vision.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/our-vision.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:02	22991/22991	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:09%20GMT	https://livedemo00.template-help.com/wt_61214/our-pastors.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/our-pastors.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:03	21902/21902	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:10%20GMT	https://livedemo00.template-help.com/wt_61214/single-pastor.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/single-pastor.html	(from https://livedemo00.template-help.com/wt_61214/)
14:58:04	25744/25744	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Oct%202019%2009:58:11%20GMT	https://livedemo00.template-help.com/wt_61214/events.html	/home/x9sheikh/Desktop/clause/new_1_arifa_kutti/livedemo00.template-help.com/wt_61214/events.html	(from https://livedemo00.template-help.com/wt_61214/)
